"M","nu","test_error","tpr","fpr","tp","fp","tn","fn","scenario","family","rep"
5,0,0.726948098711545,1,1,150,350,0,0,"Linear: n=100/p=500, Dense Sparsity, Block","gaussian",8
10,0,0.736723702355215,1,1,150,350,0,0,"Linear: n=100/p=500, Dense Sparsity, Block","gaussian",8
20,0,0.732455619652421,1,1,150,350,0,0,"Linear: n=100/p=500, Dense Sparsity, Block","gaussian",8
30,0,0.740961785162118,1,1,150,350,0,0,"Linear: n=100/p=500, Dense Sparsity, Block","gaussian",8
40,0,0.728452845009844,1,1,150,350,0,0,"Linear: n=100/p=500, Dense Sparsity, Block","gaussian",8
50,0,0.72659005660872,1,1,150,350,0,0,"Linear: n=100/p=500, Dense Sparsity, Block","gaussian",8
60,0,0.72718848176228,1,1,150,350,0,0,"Linear: n=100/p=500, Dense Sparsity, Block","gaussian",8
75,0,0.729198131157809,1,1,150,350,0,0,"Linear: n=100/p=500, Dense Sparsity, Block","gaussian",8
100,0,0.726160796372484,1,1,150,350,0,0,"Linear: n=100/p=500, Dense Sparsity, Block","gaussian",8
5,0,1.43309070341122,1,1,150,350,0,0,"Linear: n=100/p=500, Dense Sparsity, Block","gaussian",9
10,0,1.43172813182316,1,1,150,350,0,0,"Linear: n=100/p=500, Dense Sparsity, Block","gaussian",9
20,0,1.43309065514528,1,1,150,350,0,0,"Linear: n=100/p=500, Dense Sparsity, Block","gaussian",9
30,0,1.42808533758987,1,1,150,350,0,0,"Linear: n=100/p=500, Dense Sparsity, Block","gaussian",9
40,0,1.43325210316592,1,1,150,350,0,0,"Linear: n=100/p=500, Dense Sparsity, Block","gaussian",9
50,0,1.43630246511961,1,1,150,350,0,0,"Linear: n=100/p=500, Dense Sparsity, Block","gaussian",9
60,0,1.43306951242806,1,1,150,350,0,0,"Linear: n=100/p=500, Dense Sparsity, Block","gaussian",9
75,0,1.42388480535181,1,1,150,350,0,0,"Linear: n=100/p=500, Dense Sparsity, Block","gaussian",9
100,0,1.43066686891971,1,1,150,350,0,0,"Linear: n=100/p=500, Dense Sparsity, Block","gaussian",9
5,0,1.49615516940273,1,1,150,350,0,0,"Linear: n=100/p=500, Dense Sparsity, Block","gaussian",10
10,0,1.50402607756843,1,1,150,350,0,0,"Linear: n=100/p=500, Dense Sparsity, Block","gaussian",10
20,0,1.50402595528423,1,1,150,350,0,0,"Linear: n=100/p=500, Dense Sparsity, Block","gaussian",10
30,0,1.50402595298525,1,1,150,350,0,0,"Linear: n=100/p=500, Dense Sparsity, Block","gaussian",10
40,0,1.49917475444138,1,1,150,350,0,0,"Linear: n=100/p=500, Dense Sparsity, Block","gaussian",10
50,0,1.50776819085939,1,1,150,350,0,0,"Linear: n=100/p=500, Dense Sparsity, Block","gaussian",10
60,0,1.50748413908077,1,1,150,350,0,0,"Linear: n=100/p=500, Dense Sparsity, Block","gaussian",10
75,0,1.50141939953417,1,1,150,350,0,0,"Linear: n=100/p=500, Dense Sparsity, Block","gaussian",10
100,0,1.50655781959357,1,1,150,350,0,0,"Linear: n=100/p=500, Dense Sparsity, Block","gaussian",10
5,0,0.393939393939394,1,1,1000,9000,0,0,"Logistic: n=100/p=10000, Medium Sparsity, Identity","binomial",1
10,0,0.565656565656566,1,1,1000,9000,0,0,"Logistic: n=100/p=10000, Medium Sparsity, Identity","binomial",1
20,0,0.464646464646465,1,1,1000,9000,0,0,"Logistic: n=100/p=10000, Medium Sparsity, Identity","binomial",1
30,0,0.545454545454546,1,1,1000,9000,0,0,"Logistic: n=100/p=10000, Medium Sparsity, Identity","binomial",1
40,0,0.272727272727273,1,1,1000,9000,0,0,"Logistic: n=100/p=10000, Medium Sparsity, Identity","binomial",1
50,0,0.303030303030303,1,1,1000,9000,0,0,"Logistic: n=100/p=10000, Medium Sparsity, Identity","binomial",1
60,0,0.343434343434344,1,1,1000,9000,0,0,"Logistic: n=100/p=10000, Medium Sparsity, Identity","binomial",1
75,0,0.474747474747475,1,1,1000,9000,0,0,"Logistic: n=100/p=10000, Medium Sparsity, Identity","binomial",1
100,0,0.242424242424243,1,1,1000,9000,0,0,"Logistic: n=100/p=10000, Medium Sparsity, Identity","binomial",1
5,0,0.302083333333333,1,1,1000,9000,0,0,"Logistic: n=100/p=10000, Medium Sparsity, Identity","binomial",2
10,0,0.416666666666667,1,1,1000,9000,0,0,"Logistic: n=100/p=10000, Medium Sparsity, Identity","binomial",2
20,0,0.46875,1,1,1000,9000,0,0,"Logistic: n=100/p=10000, Medium Sparsity, Identity","binomial",2
30,0,0.447916666666667,1,1,1000,9000,0,0,"Logistic: n=100/p=10000, Medium Sparsity, Identity","binomial",2
40,0,0.510416666666667,1,1,1000,9000,0,0,"Logistic: n=100/p=10000, Medium Sparsity, Identity","binomial",2
50,0,0.479166666666667,1,1,1000,9000,0,0,"Logistic: n=100/p=10000, Medium Sparsity, Identity","binomial",2
60,0,0.541666666666667,1,1,1000,9000,0,0,"Logistic: n=100/p=10000, Medium Sparsity, Identity","binomial",2
75,0,0.489583333333333,1,1,1000,9000,0,0,"Logistic: n=100/p=10000, Medium Sparsity, Identity","binomial",2
100,0,0.46875,1,1,1000,9000,0,0,"Logistic: n=100/p=10000, Medium Sparsity, Identity","binomial",2
5,0,0.1875,1,1,1000,9000,0,0,"Logistic: n=100/p=10000, Medium Sparsity, Identity","binomial",3
10,0,0.34375,1,1,1000,9000,0,0,"Logistic: n=100/p=10000, Medium Sparsity, Identity","binomial",3
20,0,0.354166666666667,1,1,1000,9000,0,0,"Logistic: n=100/p=10000, Medium Sparsity, Identity","binomial",3
30,0,0.333333333333333,1,1,1000,9000,0,0,"Logistic: n=100/p=10000, Medium Sparsity, Identity","binomial",3
40,0,0.395833333333333,1,1,1000,9000,0,0,"Logistic: n=100/p=10000, Medium Sparsity, Identity","binomial",3
50,0,0.458333333333333,1,1,1000,9000,0,0,"Logistic: n=100/p=10000, Medium Sparsity, Identity","binomial",3
60,0,0.333333333333333,1,1,1000,9000,0,0,"Logistic: n=100/p=10000, Medium Sparsity, Identity","binomial",3
75,0,0.447916666666667,1,1,1000,9000,0,0,"Logistic: n=100/p=10000, Medium Sparsity, Identity","binomial",3
100,0,0.510416666666667,1,1,1000,9000,0,0,"Logistic: n=100/p=10000, Medium Sparsity, Identity","binomial",3
5,0,0.373737373737374,1,1,1000,9000,0,0,"Logistic: n=100/p=10000, Medium Sparsity, Identity","binomial",4
10,0,0.414141414141414,1,1,1000,9000,0,0,"Logistic: n=100/p=10000, Medium Sparsity, Identity","binomial",4
20,0,0.373737373737374,1,1,1000,9000,0,0,"Logistic: n=100/p=10000, Medium Sparsity, Identity","binomial",4
30,0,0.545454545454545,1,1,1000,9000,0,0,"Logistic: n=100/p=10000, Medium Sparsity, Identity","binomial",4
40,0,0.474747474747475,1,1,1000,9000,0,0,"Logistic: n=100/p=10000, Medium Sparsity, Identity","binomial",4
50,0,0.464646464646465,1,1,1000,9000,0,0,"Logistic: n=100/p=10000, Medium Sparsity, Identity","binomial",4
60,0,0.343434343434343,1,1,1000,9000,0,0,"Logistic: n=100/p=10000, Medium Sparsity, Identity","binomial",4
75,0,0.191919191919192,1,1,1000,9000,0,0,"Logistic: n=100/p=10000, Medium Sparsity, Identity","binomial",4
100,0,0.303030303030303,1,1,1000,9000,0,0,"Logistic: n=100/p=10000, Medium Sparsity, Identity","binomial",4
5,0,0.484848484848485,1,1,1000,9000,0,0,"Logistic: n=100/p=10000, Medium Sparsity, Identity","binomial",5
10,0,0.444444444444445,1,1,1000,9000,0,0,"Logistic: n=100/p=10000, Medium Sparsity, Identity","binomial",5
20,0,0.343434343434344,1,1,1000,9000,0,0,"Logistic: n=100/p=10000, Medium Sparsity, Identity","binomial",5
30,0,0.292929292929293,1,1,1000,9000,0,0,"Logistic: n=100/p=10000, Medium Sparsity, Identity","binomial",5
40,0,0.333333333333333,1,1,1000,9000,0,0,"Logistic: n=100/p=10000, Medium Sparsity, Identity","binomial",5
50,0,0.494949494949495,1,1,1000,9000,0,0,"Logistic: n=100/p=10000, Medium Sparsity, Identity","binomial",5
60,0,0.484848484848485,1,1,1000,9000,0,0,"Logistic: n=100/p=10000, Medium Sparsity, Identity","binomial",5
75,0,0.464646464646465,1,1,1000,9000,0,0,"Logistic: n=100/p=10000, Medium Sparsity, Identity","binomial",5
100,0,0.262626262626263,1,1,1000,9000,0,0,"Logistic: n=100/p=10000, Medium Sparsity, Identity","binomial",5
5,0,0.41,1,1,1000,9000,0,0,"Logistic: n=100/p=10000, Medium Sparsity, Identity","binomial",6
10,0,0.43,1,1,1000,9000,0,0,"Logistic: n=100/p=10000, Medium Sparsity, Identity","binomial",6
20,0,0.52,1,1,1000,9000,0,0,"Logistic: n=100/p=10000, Medium Sparsity, Identity","binomial",6
30,0,0.38,1,1,1000,9000,0,0,"Logistic: n=100/p=10000, Medium Sparsity, Identity","binomial",6
40,0,0.38,1,1,1000,9000,0,0,"Logistic: n=100/p=10000, Medium Sparsity, Identity","binomial",6
50,0,0.51,1,1,1000,9000,0,0,"Logistic: n=100/p=10000, Medium Sparsity, Identity","binomial",6
60,0,0.49,1,1,1000,9000,0,0,"Logistic: n=100/p=10000, Medium Sparsity, Identity","binomial",6
75,0,0.35,1,1,1000,9000,0,0,"Logistic: n=100/p=10000, Medium Sparsity, Identity","binomial",6
100,0,0.5,1,1,1000,9000,0,0,"Logistic: n=100/p=10000, Medium Sparsity, Identity","binomial",6
5,0,0.428571428571428,1,1,1000,9000,0,0,"Logistic: n=100/p=10000, Medium Sparsity, Identity","binomial",7
10,0,0.417582417582418,1,1,1000,9000,0,0,"Logistic: n=100/p=10000, Medium Sparsity, Identity","binomial",7
20,0,0.45054945054945,1,1,1000,9000,0,0,"Logistic: n=100/p=10000, Medium Sparsity, Identity","binomial",7
30,0,0.406593406593407,1,1,1000,9000,0,0,"Logistic: n=100/p=10000, Medium Sparsity, Identity","binomial",7
40,0,0.395604395604396,1,1,1000,9000,0,0,"Logistic: n=100/p=10000, Medium Sparsity, Identity","binomial",7
50,0,0.395604395604396,1,1,1000,9000,0,0,"Logistic: n=100/p=10000, Medium Sparsity, Identity","binomial",7
60,0,0.472527472527473,1,1,1000,9000,0,0,"Logistic: n=100/p=10000, Medium Sparsity, Identity","binomial",7
75,0,0.362637362637363,1,1,1000,9000,0,0,"Logistic: n=100/p=10000, Medium Sparsity, Identity","binomial",7
100,0,0.461538461538462,1,1,1000,9000,0,0,"Logistic: n=100/p=10000, Medium Sparsity, Identity","binomial",7
5,0,0.583333333333333,1,1,1000,9000,0,0,"Logistic: n=100/p=10000, Medium Sparsity, Identity","binomial",8
10,0,0.239583333333333,1,1,1000,9000,0,0,"Logistic: n=100/p=10000, Medium Sparsity, Identity","binomial",8
20,0,0.46875,1,1,1000,9000,0,0,"Logistic: n=100/p=10000, Medium Sparsity, Identity","binomial",8
30,0,0.447916666666667,1,1,1000,9000,0,0,"Logistic: n=100/p=10000, Medium Sparsity, Identity","binomial",8
40,0,0.28125,1,1,1000,9000,0,0,"Logistic: n=100/p=10000, Medium Sparsity, Identity","binomial",8
50,0,0.302083333333333,1,1,1000,9000,0,0,"Logistic: n=100/p=10000, Medium Sparsity, Identity","binomial",8
60,0,0.3125,1,1,1000,9000,0,0,"Logistic: n=100/p=10000, Medium Sparsity, Identity","binomial",8
75,0,0.4375,1,1,1000,9000,0,0,"Logistic: n=100/p=10000, Medium Sparsity, Identity","binomial",8
100,0,0.395833333333333,1,1,1000,9000,0,0,"Logistic: n=100/p=10000, Medium Sparsity, Identity","binomial",8
5,0,0.333333333333333,1,1,1000,9000,0,0,"Logistic: n=100/p=10000, Medium Sparsity, Identity","binomial",9
10,0,0.333333333333333,1,1,1000,9000,0,0,"Logistic: n=100/p=10000, Medium Sparsity, Identity","binomial",9
20,0,0.383838383838384,1,1,1000,9000,0,0,"Logistic: n=100/p=10000, Medium Sparsity, Identity","binomial",9
30,0,0.353535353535353,1,1,1000,9000,0,0,"Logistic: n=100/p=10000, Medium Sparsity, Identity","binomial",9
40,0,0.454545454545454,1,1,1000,9000,0,0,"Logistic: n=100/p=10000, Medium Sparsity, Identity","binomial",9
50,0,0.383838383838384,1,1,1000,9000,0,0,"Logistic: n=100/p=10000, Medium Sparsity, Identity","binomial",9
60,0,0.323232323232323,1,1,1000,9000,0,0,"Logistic: n=100/p=10000, Medium Sparsity, Identity","binomial",9
75,0,0.333333333333333,1,1,1000,9000,0,0,"Logistic: n=100/p=10000, Medium Sparsity, Identity","binomial",9
100,0,0.585858585858586,1,1,1000,9000,0,0,"Logistic: n=100/p=10000, Medium Sparsity, Identity","binomial",9
5,0,0.447916666666667,1,1,1000,9000,0,0,"Logistic: n=100/p=10000, Medium Sparsity, Identity","binomial",10
10,0,0.5,1,1,1000,9000,0,0,"Logistic: n=100/p=10000, Medium Sparsity, Identity","binomial",10
20,0,0.458333333333333,1,1,1000,9000,0,0,"Logistic: n=100/p=10000, Medium Sparsity, Identity","binomial",10
30,0,0.552083333333333,1,1,1000,9000,0,0,"Logistic: n=100/p=10000, Medium Sparsity, Identity","binomial",10
40,0,0.40625,1,1,1000,9000,0,0,"Logistic: n=100/p=10000, Medium Sparsity, Identity","binomial",10
50,0,0.395833333333333,1,1,1000,9000,0,0,"Logistic: n=100/p=10000, Medium Sparsity, Identity","binomial",10
60,0,0.40625,1,1,1000,9000,0,0,"Logistic: n=100/p=10000, Medium Sparsity, Identity","binomial",10
75,0,0.458333333333333,1,1,1000,9000,0,0,"Logistic: n=100/p=10000, Medium Sparsity, Identity","binomial",10
100,0,0.416666666666667,1,1,1000,9000,0,0,"Logistic: n=100/p=10000, Medium Sparsity, Identity","binomial",10
5,0,0.352941176470588,1,1,10,190,0,0,"Logistic: n=200/p=200, High Sparsity, AR1","binomial",1
10,0,0.355498721227621,1,1,10,190,0,0,"Logistic: n=200/p=200, High Sparsity, AR1","binomial",1
20,0,0.398976982097187,1,1,10,190,0,0,"Logistic: n=200/p=200, High Sparsity, AR1","binomial",1
30,0,0.375959079283887,1,1,10,190,0,0,"Logistic: n=200/p=200, High Sparsity, AR1","binomial",1
40,0,0.378516624040921,1,1,10,190,0,0,"Logistic: n=200/p=200, High Sparsity, AR1","binomial",1
50,0,0.378516624040921,1,1,10,190,0,0,"Logistic: n=200/p=200, High Sparsity, AR1","binomial",1
60,0,0.40153452685422,1,1,10,190,0,0,"Logistic: n=200/p=200, High Sparsity, AR1","binomial",1
75,0,0.363171355498721,1,1,10,190,0,0,"Logistic: n=200/p=200, High Sparsity, AR1","binomial",1
100,0,0.39386189258312,1,1,10,190,0,0,"Logistic: n=200/p=200, High Sparsity, AR1","binomial",1
5,0,0.396419437340153,1,1,10,190,0,0,"Logistic: n=200/p=200, High Sparsity, AR1","binomial",2
10,0,0.398976982097187,1,1,10,190,0,0,"Logistic: n=200/p=200, High Sparsity, AR1","binomial",2
20,0,0.388746803069054,1,1,10,190,0,0,"Logistic: n=200/p=200, High Sparsity, AR1","binomial",2
30,0,0.365728900255755,1,1,10,190,0,0,"Logistic: n=200/p=200, High Sparsity, AR1","binomial",2
40,0,0.360613810741688,1,1,10,190,0,0,"Logistic: n=200/p=200, High Sparsity, AR1","binomial",2
50,0,0.378516624040921,1,1,10,190,0,0,"Logistic: n=200/p=200, High Sparsity, AR1","binomial",2
60,0,0.375959079283888,1,1,10,190,0,0,"Logistic: n=200/p=200, High Sparsity, AR1","binomial",2
75,0,0.368286445012788,1,1,10,190,0,0,"Logistic: n=200/p=200, High Sparsity, AR1","binomial",2
100,0,0.370843989769821,1,1,10,190,0,0,"Logistic: n=200/p=200, High Sparsity, AR1","binomial",2
5,0,0.419191919191919,1,1,10,190,0,0,"Logistic: n=200/p=200, High Sparsity, AR1","binomial",3
10,0,0.48989898989899,1,1,10,190,0,0,"Logistic: n=200/p=200, High Sparsity, AR1","binomial",3
20,0,0.51010101010101,1,1,10,190,0,0,"Logistic: n=200/p=200, High Sparsity, AR1","binomial",3
30,0,0.494949494949495,1,1,10,190,0,0,"Logistic: n=200/p=200, High Sparsity, AR1","binomial",3
40,0,0.494949494949495,1,1,10,190,0,0,"Logistic: n=200/p=200, High Sparsity, AR1","binomial",3
50,0,0.492424242424242,1,1,10,190,0,0,"Logistic: n=200/p=200, High Sparsity, AR1","binomial",3
60,0,0.525252525252525,1,1,10,190,0,0,"Logistic: n=200/p=200, High Sparsity, AR1","binomial",3
75,0,0.48989898989899,1,1,10,190,0,0,"Logistic: n=200/p=200, High Sparsity, AR1","binomial",3
100,0,0.439393939393939,1,1,10,190,0,0,"Logistic: n=200/p=200, High Sparsity, AR1","binomial",3
5,0,0.380208333333333,1,1,10,190,0,0,"Logistic: n=200/p=200, High Sparsity, AR1","binomial",4
10,0,0.307291666666667,1,1,10,190,0,0,"Logistic: n=200/p=200, High Sparsity, AR1","binomial",4
20,0,0.2890625,1,1,10,190,0,0,"Logistic: n=200/p=200, High Sparsity, AR1","binomial",4
30,0,0.291666666666667,1,1,10,190,0,0,"Logistic: n=200/p=200, High Sparsity, AR1","binomial",4
40,0,0.231770833333333,1,1,10,190,0,0,"Logistic: n=200/p=200, High Sparsity, AR1","binomial",4
50,0,0.21875,1,1,10,190,0,0,"Logistic: n=200/p=200, High Sparsity, AR1","binomial",4
60,0,0.2265625,1,1,10,190,0,0,"Logistic: n=200/p=200, High Sparsity, AR1","binomial",4
75,0,0.255208333333333,1,1,10,190,0,0,"Logistic: n=200/p=200, High Sparsity, AR1","binomial",4
100,0,0.263020833333333,1,1,10,190,0,0,"Logistic: n=200/p=200, High Sparsity, AR1","binomial",4
5,0,0.293233082706767,1,1,10,190,0,0,"Logistic: n=200/p=200, High Sparsity, AR1","binomial",5
10,0,0.290726817042607,1,1,10,190,0,0,"Logistic: n=200/p=200, High Sparsity, AR1","binomial",5
20,0,0.285714285714286,1,1,10,190,0,0,"Logistic: n=200/p=200, High Sparsity, AR1","binomial",5
30,0,0.243107769423559,1,1,10,190,0,0,"Logistic: n=200/p=200, High Sparsity, AR1","binomial",5
40,0,0.240601503759399,1,1,10,190,0,0,"Logistic: n=200/p=200, High Sparsity, AR1","binomial",5
50,0,0.263157894736842,1,1,10,190,0,0,"Logistic: n=200/p=200, High Sparsity, AR1","binomial",5
60,0,0.245614035087719,1,1,10,190,0,0,"Logistic: n=200/p=200, High Sparsity, AR1","binomial",5
75,0,0.260651629072682,1,1,10,190,0,0,"Logistic: n=200/p=200, High Sparsity, AR1","binomial",5
100,0,0.245614035087719,1,1,10,190,0,0,"Logistic: n=200/p=200, High Sparsity, AR1","binomial",5
5,0,0.340153452685422,1,1,10,190,0,0,"Logistic: n=200/p=200, High Sparsity, AR1","binomial",6
10,0,0.345268542199489,1,1,10,190,0,0,"Logistic: n=200/p=200, High Sparsity, AR1","binomial",6
20,0,0.301790281329923,1,1,10,190,0,0,"Logistic: n=200/p=200, High Sparsity, AR1","binomial",6
30,0,0.286445012787724,1,1,10,190,0,0,"Logistic: n=200/p=200, High Sparsity, AR1","binomial",6
40,0,0.30690537084399,1,1,10,190,0,0,"Logistic: n=200/p=200, High Sparsity, AR1","binomial",6
50,0,0.273657289002558,1,1,10,190,0,0,"Logistic: n=200/p=200, High Sparsity, AR1","binomial",6
60,0,0.273657289002557,1,1,10,190,0,0,"Logistic: n=200/p=200, High Sparsity, AR1","binomial",6
75,0,0.278772378516624,1,1,10,190,0,0,"Logistic: n=200/p=200, High Sparsity, AR1","binomial",6
100,0,0.28388746803069,1,1,10,190,0,0,"Logistic: n=200/p=200, High Sparsity, AR1","binomial",6
5,0,0.348484848484849,1,1,10,190,0,0,"Logistic: n=200/p=200, High Sparsity, AR1","binomial",7
10,0,0.330808080808081,1,1,10,190,0,0,"Logistic: n=200/p=200, High Sparsity, AR1","binomial",7
20,0,0.340909090909091,1,1,10,190,0,0,"Logistic: n=200/p=200, High Sparsity, AR1","binomial",7
30,0,0.335858585858586,1,1,10,190,0,0,"Logistic: n=200/p=200, High Sparsity, AR1","binomial",7
40,0,0.303030303030303,1,1,10,190,0,0,"Logistic: n=200/p=200, High Sparsity, AR1","binomial",7
50,0,0.323232323232323,1,1,10,190,0,0,"Logistic: n=200/p=200, High Sparsity, AR1","binomial",7
60,0,0.295454545454545,1,1,10,190,0,0,"Logistic: n=200/p=200, High Sparsity, AR1","binomial",7
75,0,0.308080808080808,1,1,10,190,0,0,"Logistic: n=200/p=200, High Sparsity, AR1","binomial",7
100,0,0.305555555555556,1,1,10,190,0,0,"Logistic: n=200/p=200, High Sparsity, AR1","binomial",7
5,0,0.440104166666667,1,1,10,190,0,0,"Logistic: n=200/p=200, High Sparsity, AR1","binomial",8
10,0,0.455729166666667,1,1,10,190,0,0,"Logistic: n=200/p=200, High Sparsity, AR1","binomial",8
20,0,0.453125,1,1,10,190,0,0,"Logistic: n=200/p=200, High Sparsity, AR1","binomial",8
30,0,0.385416666666667,1,1,10,190,0,0,"Logistic: n=200/p=200, High Sparsity, AR1","binomial",8
40,0,0.411458333333333,1,1,10,190,0,0,"Logistic: n=200/p=200, High Sparsity, AR1","binomial",8
50,0,0.424479166666667,1,1,10,190,0,0,"Logistic: n=200/p=200, High Sparsity, AR1","binomial",8
60,0,0.447916666666667,1,1,10,190,0,0,"Logistic: n=200/p=200, High Sparsity, AR1","binomial",8
75,0,0.463541666666667,1,1,10,190,0,0,"Logistic: n=200/p=200, High Sparsity, AR1","binomial",8
100,0,0.440104166666667,1,1,10,190,0,0,"Logistic: n=200/p=200, High Sparsity, AR1","binomial",8
5,0,0.429292929292929,1,1,10,190,0,0,"Logistic: n=200/p=200, High Sparsity, AR1","binomial",9
10,0,0.409090909090909,1,1,10,190,0,0,"Logistic: n=200/p=200, High Sparsity, AR1","binomial",9
20,0,0.398989898989899,1,1,10,190,0,0,"Logistic: n=200/p=200, High Sparsity, AR1","binomial",9
30,0,0.396464646464647,1,1,10,190,0,0,"Logistic: n=200/p=200, High Sparsity, AR1","binomial",9
40,0,0.368686868686869,1,1,10,190,0,0,"Logistic: n=200/p=200, High Sparsity, AR1","binomial",9
50,0,0.383838383838384,1,1,10,190,0,0,"Logistic: n=200/p=200, High Sparsity, AR1","binomial",9
60,0,0.426767676767677,1,1,10,190,0,0,"Logistic: n=200/p=200, High Sparsity, AR1","binomial",9
75,0,0.386363636363637,1,1,10,190,0,0,"Logistic: n=200/p=200, High Sparsity, AR1","binomial",9
100,0,0.396464646464647,1,1,10,190,0,0,"Logistic: n=200/p=200, High Sparsity, AR1","binomial",9
5,0,0.255050505050505,1,1,10,190,0,0,"Logistic: n=200/p=200, High Sparsity, AR1","binomial",10
10,0,0.285353535353535,1,1,10,190,0,0,"Logistic: n=200/p=200, High Sparsity, AR1","binomial",10
20,0,0.30050505050505,1,1,10,190,0,0,"Logistic: n=200/p=200, High Sparsity, AR1","binomial",10
30,0,0.325757575757576,1,1,10,190,0,0,"Logistic: n=200/p=200, High Sparsity, AR1","binomial",10
40,0,0.325757575757576,1,1,10,190,0,0,"Logistic: n=200/p=200, High Sparsity, AR1","binomial",10
50,0,0.343434343434344,1,1,10,190,0,0,"Logistic: n=200/p=200, High Sparsity, AR1","binomial",10
60,0,0.333333333333333,1,1,10,190,0,0,"Logistic: n=200/p=200, High Sparsity, AR1","binomial",10
75,0,0.340909090909091,1,1,10,190,0,0,"Logistic: n=200/p=200, High Sparsity, AR1","binomial",10
100,0,0.335858585858586,1,1,10,190,0,0,"Logistic: n=200/p=200, High Sparsity, AR1","binomial",10
5,0,0.0659340659340659,1,1,150,350,0,0,"Logistic: n=100/p=500, Dense Sparsity, Block","binomial",1
10,0,0.0659340659340659,1,1,150,350,0,0,"Logistic: n=100/p=500, Dense Sparsity, Block","binomial",1
20,0,0.0659340659340659,1,1,150,350,0,0,"Logistic: n=100/p=500, Dense Sparsity, Block","binomial",1
30,0,0.0659340659340659,1,1,150,350,0,0,"Logistic: n=100/p=500, Dense Sparsity, Block","binomial",1
40,0,0.0659340659340659,1,1,150,350,0,0,"Logistic: n=100/p=500, Dense Sparsity, Block","binomial",1
50,0,0.0659340659340659,1,1,150,350,0,0,"Logistic: n=100/p=500, Dense Sparsity, Block","binomial",1
60,0,0.0659340659340659,1,1,150,350,0,0,"Logistic: n=100/p=500, Dense Sparsity, Block","binomial",1
75,0,0.0659340659340659,1,1,150,350,0,0,"Logistic: n=100/p=500, Dense Sparsity, Block","binomial",1
100,0,0.0659340659340659,1,1,150,350,0,0,"Logistic: n=100/p=500, Dense Sparsity, Block","binomial",1
5,0,0,1,1,150,350,0,0,"Logistic: n=100/p=500, Dense Sparsity, Block","binomial",2
10,0,0,1,1,150,350,0,0,"Logistic: n=100/p=500, Dense Sparsity, Block","binomial",2
20,0,0,1,1,150,350,0,0,"Logistic: n=100/p=500, Dense Sparsity, Block","binomial",2
30,0,0,1,1,150,350,0,0,"Logistic: n=100/p=500, Dense Sparsity, Block","binomial",2
40,0,0,1,1,150,350,0,0,"Logistic: n=100/p=500, Dense Sparsity, Block","binomial",2
50,0,0,1,1,150,350,0,0,"Logistic: n=100/p=500, Dense Sparsity, Block","binomial",2
60,0,0,1,1,150,350,0,0,"Logistic: n=100/p=500, Dense Sparsity, Block","binomial",2
75,0,0,1,1,150,350,0,0,"Logistic: n=100/p=500, Dense Sparsity, Block","binomial",2
100,0,0,1,1,150,350,0,0,"Logistic: n=100/p=500, Dense Sparsity, Block","binomial",2
5,0,0,1,1,150,350,0,0,"Logistic: n=100/p=500, Dense Sparsity, Block","binomial",3
10,0,0,1,1,150,350,0,0,"Logistic: n=100/p=500, Dense Sparsity, Block","binomial",3
20,0,0,1,1,150,350,0,0,"Logistic: n=100/p=500, Dense Sparsity, Block","binomial",3
30,0,0,1,1,150,350,0,0,"Logistic: n=100/p=500, Dense Sparsity, Block","binomial",3
40,0,0,1,1,150,350,0,0,"Logistic: n=100/p=500, Dense Sparsity, Block","binomial",3
50,0,0,1,1,150,350,0,0,"Logistic: n=100/p=500, Dense Sparsity, Block","binomial",3
60,0,0,1,1,150,350,0,0,"Logistic: n=100/p=500, Dense Sparsity, Block","binomial",3
75,0,0,1,1,150,350,0,0,"Logistic: n=100/p=500, Dense Sparsity, Block","binomial",3
100,0,0,1,1,150,350,0,0,"Logistic: n=100/p=500, Dense Sparsity, Block","binomial",3
5,0,0,1,1,150,350,0,0,"Logistic: n=100/p=500, Dense Sparsity, Block","binomial",4
10,0,0,1,1,150,350,0,0,"Logistic: n=100/p=500, Dense Sparsity, Block","binomial",4
20,0,0,1,1,150,350,0,0,"Logistic: n=100/p=500, Dense Sparsity, Block","binomial",4
30,0,0,1,1,150,350,0,0,"Logistic: n=100/p=500, Dense Sparsity, Block","binomial",4
40,0,0,1,1,150,350,0,0,"Logistic: n=100/p=500, Dense Sparsity, Block","binomial",4
50,0,0,1,1,150,350,0,0,"Logistic: n=100/p=500, Dense Sparsity, Block","binomial",4
60,0,0,1,1,150,350,0,0,"Logistic: n=100/p=500, Dense Sparsity, Block","binomial",4
75,0,0,1,1,150,350,0,0,"Logistic: n=100/p=500, Dense Sparsity, Block","binomial",4
100,0,0,1,1,150,350,0,0,"Logistic: n=100/p=500, Dense Sparsity, Block","binomial",4
5,0,0,1,1,150,350,0,0,"Logistic: n=100/p=500, Dense Sparsity, Block","binomial",5
10,0,0,1,1,150,350,0,0,"Logistic: n=100/p=500, Dense Sparsity, Block","binomial",5
20,0,0,1,1,150,350,0,0,"Logistic: n=100/p=500, Dense Sparsity, Block","binomial",5
30,0,0,1,1,150,350,0,0,"Logistic: n=100/p=500, Dense Sparsity, Block","binomial",5
40,0,0,1,1,150,350,0,0,"Logistic: n=100/p=500, Dense Sparsity, Block","binomial",5
50,0,0,1,1,150,350,0,0,"Logistic: n=100/p=500, Dense Sparsity, Block","binomial",5
